LOCATION,\sITEM NO,ITEM DESCRIPTION,PACK,SIZE,ITEM WGT,WEEKLY MVMT,ITEM COST,CASES DAMAGED,COLOR_CASES DAMAGED,LINK_
B1Y-1-1-R-0-0-0,1,SHORTENING ALL PURPOSE PHO,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1Y-1-1-R-0-0-52,2,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1Y-1-1-R-0-0-104,3,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1Y-1-1-R-0-0-156,4,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1Y-1-1-R-0-0-208,5,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1Y-1-1-R-90-0-0,6,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1Y-1-1-R-90-0-52,7,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1Y-1-1-R-90-0-104,8,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1Y-1-1-R-90-0-156,9,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1Y-1-1-R-90-0-208,10,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-180-0-0,11,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-180-0-52,12,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-180-0-104,13,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-180-0-156,14,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-180-0-178,15,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-230-0-0,16,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-230-0-52,17,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-230-0-104,18,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-230-0-156,19,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-230-0-178,20,test2,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-308-0-0,21,test3,2,51#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-308-0-52,22,test4,3,52#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-308-0-104,23,test5,4,53#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-308-0-156,24,test6,5,54#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-308-0-178,25,test7,6,55#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-4-1,26,test7,6,55#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-4-2,27,test7,6,55#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-4-3,28,test7,6,55#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-4-4,29,test7,6,55#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-4-5,30,test7,6,55#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-360-0-0,31,test8,7,56#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-360-0-52,32,test9,8,57#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-360-0-104,33,test10,9,58#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-360-0-156,34,test11,10,59#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-360-0-178,35,test12,11,60#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-412-0-0,36,test13,12,61#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-412-0-52,37,test14,13,62#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-412-0-104,38,test15,14,63#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-412-0-156,39,test16,15,64#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-412-0-178,40,test17,16,65#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-464-0-0,41,test18,17,66#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-464-0-52,42,test19,18,67#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-464-0-104,43,test20,19,68#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-464-0-156,44,test21,20,69#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-464-0-178,45,test22,21,70#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-m50-0-0,46,test23,22,71#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-m50-0-52,47,test24,23,72#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-m50-0-104,48,test25,24,73#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-m50-0-156,49,test26,25,74#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-m50-0-178,50,test27,26,75#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-m50-50-0,51,test28,27,76#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-m50-50-52,52,test29,28,77#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-m50-50-104,53,test30,29,78#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-m50-50-156,54,test31,30,79#,50,8,36.93,0,green,http://yourURL?LOCATION=
B1-1-R-m50-50-178,55,test32,31,80#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-1-1,56,test33,32,81#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-1-2,57,test34,33,82#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-1-3,58,test35,34,83#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-1-4,59,test36,35,84#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-1-5,60,test37,36,85#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-2-1,61,test38,37,86#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-2-2,62,test39,38,87#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-2-3,63,test40,39,88#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-2-4,64,test41,40,89#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-2-5,65,test42,41,90#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-3-1,66,test43,42,91#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-3-2,67,test44,43,92#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-3-3,68,test45,44,93#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-3-4,69,test46,45,94#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-3-5,70,test47,46,95#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-4-1,71,test48,47,96#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-4-2,72,test49,48,97#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-4-3,73,test50,49,98#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-4-4,74,test51,50,99#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-4-5,75,test52,51,100#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-1,76,test53,52,101#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-2,77,test54,53,102#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-3,78,test55,54,103#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-4,79,test56,55,104#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-1-5,80,test57,56,105#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-2-1,81,test58,57,106#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-2-2,82,test59,58,107#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-2-3,83,test60,59,108#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-2-4,84,test61,60,109#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-2-5,85,test62,61,110#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-3-1,86,test63,62,111#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-3-2,87,test64,63,112#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-3-3,88,test65,64,113#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-3-4,89,test66,65,114#,50,8,36.93,0,green,http://yourURL?LOCATION=
B2-3-5,90,test67,66,115#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-1-1,91,test68,67,116#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-1-2,92,test69,68,117#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-1-3,93,test70,69,118#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-1-4,94,test71,70,119#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-1-5,95,test72,71,120#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-2-1,96,test73,72,121#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-2-2,97,test74,73,122#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-2-3,98,test75,74,123#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-2-4,99,test76,75,124#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-2-5,100,test77,76,125#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-3-1,101,test78,77,126#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-3-2,102,test79,78,127#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-3-3,103,test80,79,128#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-3-4,104,test81,80,129#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-3-5,105,test82,81,130#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-4-1,106,test83,82,131#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-4-2,107,test84,83,132#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-4-3,108,test85,84,133#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-4-4,109,test86,85,134#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-4-5,110,test87,86,135#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-1,111,test88,87,136#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-2,112,test89,88,137#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-3,113,test90,89,138#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-1-4,114,test91,90,139#,50,8,36.93,0,green,http://yourURL?LOCATION=
