LOCATION,WIDTH,DEPTH,HEIGHT,X,Y,Z,AISLE,CENTERAXIS,AISLESIDE,BAY,WAREHOUSE,AREA,LEVEL
B1Y-1-1-R-0-0-0,112,48,50,0,0,0,B1-1,Y,R,1,WARREN,A,1
B1Y-1-1-R-0-0-52,112,48,50,0,0,52,B1-1,Y,R,1,WARREN,A,2
B1Y-1-1-R-0-0-104,112,48,50,0,0,104,B1-1,Y,R,1,WARREN,A,3
B1Y-1-1-R-0-0-156,112,48,50,0,0,156,B1-1,Y,R,1,WARREN,A,4
B1Y-1-1-R-0-0-208,112,48,50,0,0,208,B1-1,Y,R,1,WARREN,A,5
B1Y-1-1-R-90-0-0,112,48,50,118,0,0,B1-1,Y,R,1,WARREN,A,1
B1Y-1-1-R-90-0-52,112,48,50,118,0,52,B1-1,Y,R,1,WARREN,A,2
B1Y-1-1-R-90-0-104,112,48,50,118,0,104,B1-1,Y,R,1,WARREN,A,3
B1Y-1-1-R-90-0-156,112,48,50,118,0,156,B1-1,Y,R,1,WARREN,A,4
B1Y-1-1-R-90-0-208,112,48,50,118,0,208,B1-1,Y,R,1,WARREN,A,5
B1-1-R-180-0-0,48,112,50,206,50,-30,B1,X,L,1,WARREN,A,1
B1-1-R-180-0-52,48,112,50,206,50,22,B1,X,L,1,WARREN,A,2
B1-1-R-180-0-104,48,112,50,206,50,74,B1,X,L,1,WARREN,A,3
B1-1-R-180-0-156,48,112,50,206,50,126,B1,X,L,1,WARREN,A,4
B1-1-R-180-0-178,48,112,50,206,50,178,B1,X,L,1,WARREN,A,5
B1-1-R-230-0-0,48,112,50,256,50,-30,B1,X,L,1,WARREN,A,1
B1-1-R-230-0-52,48,112,50,256,50,22,B1,X,L,1,WARREN,A,2
B1-1-R-230-0-104,48,112,50,256,50,74,B1,X,L,1,WARREN,A,3
B1-1-R-230-0-156,48,112,50,256,50,126,B1,X,L,1,WARREN,A,4
B1-1-R-230-0-178,48,112,50,256,50,178,B1,X,L,1,WARREN,A,5
B1-1-R-308-0-0,48,112,50,308,50,-30,B1,X,L,1,WARREN,A,1
B1-1-R-308-0-52,48,112,50,308,50,22,B1,X,L,1,WARREN,A,2
B1-1-R-308-0-104,48,112,50,308,50,74,B1,X,L,1,WARREN,A,3
B1-1-R-308-0-156,48,112,50,308,50,126,B1,X,L,1,WARREN,A,4
B1-1-R-308-0-178,48,112,50,308,50,178,B1,X,L,1,WARREN,A,5
B1-1-4-1,48,112,50,360,50,-30,B1,X,L,1,WARREN,A,1
B1-1-4-2,48,112,50,360,50,22,B1,X,L,1,WARREN,A,2
B1-1-4-3,48,112,50,360,50,74,B1,X,L,1,WARREN,A,3
B1-1-4-4,48,112,50,360,50,126,B1,X,L,1,WARREN,A,4
B1-1-4-5,48,112,50,360,50,178,B1,X,L,1,WARREN,A,5
B1-1-R-360-0-0,48,112,50,412,50,-30,B1,X,L,1,WARREN,A,1
B1-1-R-360-0-52,48,112,50,412,50,22,B1,X,L,1,WARREN,A,2
B1-1-R-360-0-104,48,112,50,412,50,74,B1,X,L,1,WARREN,A,3
B1-1-R-360-0-156,48,112,50,412,50,126,B1,X,L,1,WARREN,A,4
B1-1-R-360-0-178,48,112,50,412,50,178,B1,X,L,1,WARREN,A,5
